dataset,backbone,strategy,unfreeze_pct,Direction,task,n_classes,total_params,trainable_params,batch_size,learning_rate,epochs_trained,best_epoch,best_val_primary,test_loss,training_time_sec,seed,test_primary,test_auc_macro,test_acc,test_acc_hamming,test_auc,test_auc_micro
chestmnist,resnet18,partial,20,start,multilabel,14,11183694,155150,64,0.0001,124,111,0.7799146513737444,0.16050727192068373,5276.055435657501,45,0.779852959921021,0.779852959921021,0.5310034324432755,0.947870165763448,0.7798529594306646,0.8466037686825933
chestmnist,densenet121,partial,20,end,multilabel,14,6968206,2698766,64,0.0001,21,6,0.8039899312663891,0.15732363061687546,994.1898996829987,42,0.8037922798391606,0.8037922798391606,0.5267240226452102,0.9475644936350147,0.8037922798391606,0.8590760159737701
chestmnist,vit_base_patch16_224,full,0,0,multilabel,14,85809422,85809422,64,0.0001,23,8,0.8151090956318069,0.1544168615910063,2496.3232655525208,40,0.8149087445309071,0.8149087445309071,0.5320287077073954,0.9483032012787284,0.8149087450212635,0.8660437570535187
chestmnist,resnet18,partial,60,end,multilabel,14,11183694,11026190,64,0.0001,25,10,0.8089754100924942,0.1547278516907298,1062.3341419696808,40,0.8097031283892865,0.8097031283892865,0.5285962644318638,0.9477905636466685,0.8097031288796429,0.8649574956234025
chestmnist,resnet18,LP,0,0,multilabel,14,11183694,7182,64,0.0001,127,112,0.7197543357307737,0.17117930991187735,5454.054569482803,45,0.7215441624411282,0.7215441624411282,0.5314492042972406,0.9473638963007305,0.7215441621940656,0.8117951140706509
chestmnist,densenet121,partial,20,end,multilabel,14,6968206,2698766,64,0.0001,21,6,0.8028220708714946,0.15751142143948466,993.6581897735596,40,0.8041284559487681,0.8041284559487681,0.5279276066509161,0.9475071801109335,0.8041284552897839,0.8588095412167162
chestmnist,vit_base_patch16_224,partial,20,start,multilabel,14,85809422,21274382,64,0.0001,23,8,0.8138208966423137,0.15452538008278932,2069.429074525833,47,0.8126458571091991,0.8126458571091991,0.5293540765836046,0.948083499436417,0.8126458559598584,0.8645046004225492
chestmnist,densenet121,partial,40,start,multilabel,14,6968206,1302350,64,0.0001,35,20,0.8231766851066408,0.15221732882437883,2951.2294166088104,43,0.8215902293355482,0.8215902293355482,0.5289974591004324,0.9481217084524711,0.8215902293355482,0.8725303000039376
chestmnist,swin_tiny_patch4_window7_224,partial,20,start,multilabel,14,27530120,681338,64,0.0001,71,56,0.8211104889744606,0.15370593597831209,6301.308216810226,48,0.8208683444233225,0.8208683444233225,0.5305130834039139,0.9479561360495699,0.8208683454040353,0.8700132169966649
chestmnist,vit_base_patch16_224,partial,20,end,multilabel,14,85809422,21274382,64,0.0001,20,5,0.8088185977727859,0.15591084621740542,1301.1033518314362,48,0.8062795028480098,0.8062795028480098,0.5306913921455,0.9481567333838541,0.8062795060484106,0.8606359107763322
chestmnist,densenet121,LP,0,0,multilabel,14,6968206,14350,64,0.0001,85,83,0.7509375929207004,0.16822888504745614,3769.436434030533,42,0.7419832591916895,0.7419832591916895,0.5305576605893104,0.9474721551795505,0.7419832591916895,0.8236773980587713
chestmnist,vit_base_patch16_224,partial,20,end,multilabel,14,85809422,21274382,64,0.0001,20,5,0.803910979461057,0.15914894152231027,1295.1199355125427,47,0.8044458503027822,0.8044458503027822,0.5304239290331209,0.9479656883035834,0.8044458485444251,0.8534432241062437
chestmnist,vit_base_patch16_224,partial,60,start,multilabel,14,85809422,56713742,64,0.0001,24,9,0.8236114392531103,0.1561376010293295,2396.1860394477844,48,0.8177349884487366,0.8177349884487366,0.5288637275442428,0.9481026039444441,0.8177349889390931,0.8661732695589877
chestmnist,swin_tiny_patch4_window7_224,partial,20,start,multilabel,14,27530120,681338,64,0.0001,57,42,0.8179830964639209,0.15445920398347399,5070.8860912323,47,0.8168583873803031,0.8168583873803031,0.5326527883029466,0.948258624093332,0.8168583873803031,0.8669947418013567
chestmnist,vit_base_patch16_224,LP,0,0,multilabel,14,85809422,10766,64,0.0001,75,75,0.7610045361035349,0.1653548137117655,4784.077797651291,47,0.7617535692515771,0.7617535692515771,0.5296661168813801,0.9473766326394152,0.7617535687612206,0.8325682948388834
chestmnist,resnet18,partial,60,start,multilabel,14,11183694,2780430,64,0.0001,47,32,0.8063153271357367,0.15532737110669798,1994.6821451187134,41,0.8108692757880883,0.8108692757880883,0.5285071100610708,0.9476823047678484,0.8108692757880883,0.8654282071116828
chestmnist,vit_base_patch16_224,partial,20,end,multilabel,14,85809422,21274382,64,0.0001,20,5,0.8079276297132868,0.15713099398759017,1310.2487254142761,40,0.8069011821813471,0.8069011821813471,0.5251638211563322,0.947516732364947,0.8069011810320064,0.8579692156562053
chestmnist,vit_base_patch16_224,partial,60,end,multilabel,14,85809422,56713742,64,0.0001,20,5,0.822739757590427,0.15287371240874642,1747.8109822273254,49,0.8258663426868901,0.8258663426868901,0.5302456202915348,0.948242703669976,0.825866341949471,0.8727315419769189
chestmnist,swin_tiny_patch4_window7_224,partial,60,start,multilabel,14,27530120,8233184,64,0.0001,23,8,0.8351413674933387,0.15078867069761298,2169.890002012253,42,0.8344512819715216,0.8344512819715216,0.5302010431061382,0.9484082760728774,0.8344512813125377,0.8766523573526949
chestmnist,densenet121,LP,0,0,multilabel,14,6968206,14350,64,0.0001,51,36,0.7502417004159823,0.16860620705065904,2319.5408635139465,48,0.7412492236741015,0.7412492236741015,0.5314937814826372,0.9475772299736994,0.7412492236741015,0.8226473636625318
chestmnist,swin_tiny_patch4_window7_224,partial,60,start,multilabel,14,27530120,8233184,64,0.0001,23,8,0.8404080054408797,0.15042297302233187,2185.898920059204,40,0.8368480509894083,0.8368480509894083,0.5308251237016894,0.9483509625487961,0.8368480519738901,0.8794615904056935
chestmnist,vit_base_patch16_224,partial,20,start,multilabel,14,85809422,21274382,64,0.0001,24,9,0.8169761117672184,0.15456728132022413,2130.8690309524536,46,0.8160743402715257,0.8160743402715257,0.5273481032407614,0.9477491705459432,0.81607433904375,0.8665242669502747
chestmnist,densenet121,partial,40,start,multilabel,14,6968206,1302350,64,0.0001,41,26,0.8216160317013136,0.15304280303821943,3405.7927832603455,47,0.8219678717910996,0.8219678717910996,0.5306022377747069,0.9483541466334673,0.8219678735288071,0.8716256171660977
chestmnist,resnet18,partial,20,end,multilabel,14,11183694,8400910,64,0.0001,32,17,0.7819200057494777,0.16078628915921914,1379.6109585762024,46,0.7835656189707577,0.7835656189707577,0.5296661168813801,0.9477077774452178,0.7835656196297419,0.8485106671529933
chestmnist,resnet18,partial,20,end,multilabel,14,11183694,8400910,64,0.0001,30,15,0.783367159268536,0.160784079881645,1294.2928121089935,42,0.7838436050532062,0.7838436050532062,0.5313154727410512,0.9477428023766008,0.7838436057121905,0.8477464205025873
chestmnist,swin_tiny_patch4_window7_224,partial,20,end,multilabel,14,27530120,15971114,64,0.0001,21,6,0.8178555153006967,0.1579903465220731,1103.309669971466,43,0.8170074733466708,0.8170074733466708,0.5253421298979183,0.9475899663123841,0.8170074738370273,0.8614745441518723
chestmnist,vit_base_patch16_224,LP,0,0,multilabel,14,85809422,10766,64,0.0001,117,114,0.7622937064736182,0.1651254667982756,7365.6012461185455,44,0.7627570118862474,0.7627570118862474,0.5289528819150359,0.9473161350306627,0.7627570111488283,0.8332876587918041
chestmnist,swin_tiny_patch4_window7_224,full,0,0,multilabel,14,27530120,27530120,64,0.0001,27,12,0.832780741262437,0.15036088729176425,2749.2884221076965,40,0.8300091677019663,0.8300091677019663,0.5294432309543975,0.9480580267590476,0.8300091659436093,0.8759265130010451
chestmnist,swin_tiny_patch4_window7_224,LP,0,0,multilabel,14,27530120,10766,64,0.0001,106,103,0.7564408038782728,0.16676892607639998,5372.143850564957,48,0.7563458719531578,0.7563458719531578,0.5302901974769313,0.9472588215065815,0.7563458719531578,0.8292483935214603
chestmnist,densenet121,partial,40,start,multilabel,14,6968206,1302350,64,0.0001,43,28,0.8197395543360665,0.15243527917270985,3592.2428500652313,41,0.8247956851639008,0.8247956851639008,0.5235144652966611,0.9477396182919297,0.8247956845049166,0.8731151635463696
chestmnist,resnet18,LP,0,0,multilabel,14,11183694,7182,64,0.0001,80,78,0.7171444397604393,0.17118176679920266,3434.555314064026,46,0.7207596384185871,0.7207596384185871,0.5311371639994651,0.947338423623361,0.7207596406673005,0.81167856246442
chestmnist,swin_tiny_patch4_window7_224,partial,60,end,multilabel,14,27530120,24853574,64,0.0001,22,7,0.8356518044613184,0.1516174900523278,1451.804743051529,43,0.834155069300769,0.834155069300769,0.5194133642401819,0.9471314581197343,0.8341550685633498,0.8788362032774153
chestmnist,swin_tiny_patch4_window7_224,full,0,0,multilabel,14,27530120,27530120,64,0.0001,25,10,0.8332334207598351,0.15035495244794422,2553.9025642871857,43,0.8320271744588975,0.8320271744588975,0.5274818347969509,0.9479561360495699,0.832027174949254,0.87648683467065
