,dataset,run_name,summary_path,Direction,backbone,batch_size,best_epoch,best_val_primary,epochs_trained,learning_rate,n_classes,seed,strategy,task,test_acc,test_auc,test_auc_macro,test_f1_macro,test_loss,test_primary,total_params,trainable_params,training_time_sec,unfreeze_pct
515,retinamnist,retinamnist_swin_tiny_patch4_window7_224_partial_pct20_dirend_seed46,retinamnist/retinamnist_swin_tiny_patch4_window7_224_partial_pct20_dirend_seed46/summary.json,end,swin_tiny_patch4_window7_224,64,13,0.912715465504634,28,0.0001,5,46,partial,classification,0.645,0.8732766960874134,,0.5403914068224565,1.0521792343684606,0.8732766960874134,27523199,15964193,65.89285016059875,20
516,retinamnist,retinamnist_densenet121_partial_pct20_dirend_seed42,retinamnist/retinamnist_densenet121_partial_pct20_dirend_seed42/summary.json,end,densenet121,64,12,0.8733847567241924,27,0.0001,5,42,partial,classification,0.62,0.8318393200961938,,0.4750243140707204,0.9893759829657418,0.8318393200961938,6958981,2689541,55.584949254989624,20
517,retinamnist,retinamnist_swin_tiny_patch4_window7_224_LP_pct0_seed49,retinamnist/retinamnist_swin_tiny_patch4_window7_224_LP_pct0_seed49/summary.json,0,swin_tiny_patch4_window7_224,64,108,0.8616709374813114,123,0.0001,5,49,LP,classification,0.5925,0.8514299138612877,,0.4198970840480274,0.97387090751103,0.8514299138612877,27523199,3845,326.2679018974304,0
518,retinamnist,retinamnist_densenet121_partial_pct40_dirstart_seed49,retinamnist/retinamnist_densenet121_partial_pct40_dirstart_seed49/summary.json,start,densenet121,64,15,0.8313968244428962,30,0.0001,5,49,partial,classification,0.5775,0.8009841061203294,,0.3648198173568882,1.0727438586098808,0.8009841061203294,6958981,1293125,70.0518741607666,40
519,retinamnist,retinamnist_densenet121_partial_pct40_dirend_seed46,retinamnist/retinamnist_densenet121_partial_pct40_dirend_seed46/summary.json,end,densenet121,64,18,0.8496396931796626,33,0.0001,5,46,partial,classification,0.64,0.8513804574115401,,0.5081293629803768,1.0401724917548043,0.8513804574115401,6958981,5527301,68.29713034629822,40
520,retinamnist,retinamnist_swin_tiny_patch4_window7_224_partial_pct40_dirend_seed45,retinamnist/retinamnist_swin_tiny_patch4_window7_224_partial_pct40_dirend_seed45/summary.json,end,swin_tiny_patch4_window7_224,64,19,0.90091193226075,34,0.0001,5,45,partial,classification,0.645,0.8768425589564671,,0.5430529507336097,1.5669852835791451,0.8768425589564671,27523199,19517177,78.94361424446106,40
521,retinamnist,retinamnist_densenet121_full_pct0_seed45,retinamnist/retinamnist_densenet121_full_pct0_seed45/summary.json,0,densenet121,64,20,0.8631099293028356,35,0.0001,5,45,full,classification,0.6525,0.8514468401775936,,0.5314254981041712,1.1915637254714966,0.8514468401775936,6958981,6958981,91.59677982330322,0
522,retinamnist,retinamnist_vit_base_patch16_224_partial_pct20_dirstart_seed46,retinamnist/retinamnist_vit_base_patch16_224_partial_pct20_dirstart_seed46/summary.json,start,vit_base_patch16_224,64,12,0.8723688491467285,27,0.0001,5,46,partial,classification,0.595,0.8314649340128073,,0.440011265368487,1.054641374519893,0.8314649340128073,85802501,21267461,71.60748338699341,20
523,retinamnist,retinamnist_swin_tiny_patch4_window7_224_partial_pct60_dirend_seed46,retinamnist/retinamnist_swin_tiny_patch4_window7_224_partial_pct60_dirend_seed46/summary.json,end,swin_tiny_patch4_window7_224,64,24,0.9203811801132168,39,0.0001,5,46,partial,classification,0.6775,0.8667949770106447,,0.5507611905299734,1.5884418487548828,0.8667949770106447,27523199,24846653,96.2815637588501,60
524,retinamnist,retinamnist_densenet121_partial_pct40_dirend_seed41,retinamnist/retinamnist_densenet121_partial_pct40_dirend_seed41/summary.json,end,densenet121,64,6,0.8779547416337653,21,0.0001,5,41,partial,classification,0.605,0.8266894694809872,,0.4134505759347864,0.9920343671526228,0.8266894694809872,6958981,5527301,47.46621370315552,40
525,retinamnist,retinamnist_swin_tiny_patch4_window7_224_partial_pct20_dirstart_seed45,retinamnist/retinamnist_swin_tiny_patch4_window7_224_partial_pct20_dirstart_seed45/summary.json,start,swin_tiny_patch4_window7_224,64,44,0.8885921513269338,59,0.0001,5,45,partial,classification,0.6375,0.8668825708309642,,0.4933122199771683,0.9572136402130128,0.8668825708309642,27523199,674417,136.68678855895996,20
526,retinamnist,retinamnist_resnet18_LP_pct0_seed41,retinamnist/retinamnist_resnet18_LP_pct0_seed41/summary.json,0,resnet18,64,106,0.7768404097639795,121,0.0001,5,41,LP,classification,0.5,0.7594250531890643,,0.2505750407471036,1.2226454019546509,0.7594250531890643,11179077,2565,211.18217086791992,0
527,retinamnist,retinamnist_densenet121_partial_pct60_dirstart_seed45,retinamnist/retinamnist_densenet121_partial_pct60_dirstart_seed45/summary.json,start,densenet121,64,20,0.8659697161950405,35,0.0001,5,45,partial,classification,0.645,0.8718067193885719,,0.4715866609417489,0.8614838634218488,0.8718067193885719,6958981,4262981,85.01752948760986,60
528,retinamnist,retinamnist_swin_tiny_patch4_window7_224_partial_pct60_dirstart_seed44,retinamnist/retinamnist_swin_tiny_patch4_window7_224_partial_pct60_dirstart_seed44/summary.json,start,swin_tiny_patch4_window7_224,64,15,0.9125134426976532,30,0.0001,5,44,partial,classification,0.685,0.8956043276955622,,0.533036982700654,0.931360593863896,0.8956043276955622,27523199,8226263,82.5263524055481,60
529,retinamnist,retinamnist_swin_tiny_patch4_window7_224_partial_pct60_dirstart_seed43,retinamnist/retinamnist_swin_tiny_patch4_window7_224_partial_pct60_dirstart_seed43/summary.json,start,swin_tiny_patch4_window7_224,64,25,0.9077725435312772,40,0.0001,5,43,partial,classification,0.6675,0.891257454281644,,0.5258041441361032,1.0398219312940324,0.891257454281644,27523199,8226263,105.63009023666382,60
530,retinamnist,retinamnist_vit_base_patch16_224_full_pct0_seed48,retinamnist/retinamnist_vit_base_patch16_224_full_pct0_seed48/summary.json,0,vit_base_patch16_224,64,36,0.8688176118821428,51,0.0001,5,48,full,classification,0.5575,0.7957615099124581,,0.4290899525211051,2.5030308110373363,0.7957615099124581,85802501,85802501,164.31413555145264,0
531,retinamnist,retinamnist_vit_base_patch16_224_partial_pct60_dirstart_seed40,retinamnist/retinamnist_vit_base_patch16_224_partial_pct60_dirstart_seed40/summary.json,start,vit_base_patch16_224,64,12,0.8597805935934846,27,0.0001,5,40,partial,classification,0.6,0.8244087168994201,,0.4299463764878785,1.071029850414821,0.8244087168994201,85802501,56706821,82.12421178817749,60
532,retinamnist,retinamnist_vit_base_patch16_224_partial_pct40_dirend_seed46,retinamnist/retinamnist_vit_base_patch16_224_partial_pct40_dirend_seed46/summary.json,end,vit_base_patch16_224,64,14,0.8793899018516868,29,0.0001,5,46,partial,classification,0.5975,0.8444079994627698,,0.4983329729269085,1.7002461467470442,0.8444079994627698,85802501,35443205,69.50981116294861,40
533,retinamnist,retinamnist_densenet121_partial_pct60_dirstart_seed42,retinamnist/retinamnist_densenet121_partial_pct60_dirstart_seed42/summary.json,start,densenet121,64,12,0.8780447213040652,27,0.0001,5,42,partial,classification,0.6475,0.86356011762374,,0.4741106584371774,0.8584315691675458,0.86356011762374,6958981,4262981,65.5456874370575,60
534,retinamnist,retinamnist_vit_base_patch16_224_LP_pct0_seed42,retinamnist/retinamnist_vit_base_patch16_224_LP_pct0_seed42/summary.json,0,vit_base_patch16_224,64,85,0.8392724830668385,100,0.0001,5,42,LP,classification,0.6125,0.829173707472249,,0.4817526704451376,0.9856774806976318,0.829173707472249,85802501,3845,265.1030504703522,0
535,retinamnist,retinamnist_resnet18_partial_pct40_dirstart_seed45,retinamnist/retinamnist_resnet18_partial_pct40_dirstart_seed45/summary.json,start,resnet18,64,39,0.8277604601828095,54,0.0001,5,45,partial,classification,0.5975,0.789630059410791,,0.3533641548158209,1.1042903321129935,0.789630059410791,11179077,676101,93.77783370018004,40
536,retinamnist,retinamnist_vit_base_patch16_224_partial_pct20_dirend_seed43,retinamnist/retinamnist_vit_base_patch16_224_partial_pct20_dirend_seed43/summary.json,end,vit_base_patch16_224,64,5,0.8673739939807066,20,0.0001,5,43,partial,classification,0.5975,0.8551885899301203,,0.4795580828893152,1.0091865743909565,0.8551885899301203,85802501,21267461,48.307318925857544,20
537,retinamnist,retinamnist_resnet18_full_pct0_seed48,retinamnist/retinamnist_resnet18_full_pct0_seed48/summary.json,0,resnet18,64,23,0.8562201641932381,38,0.0001,5,48,full,classification,0.6625,0.8625330137481237,,0.4710039000937619,0.88741420848029,0.8625330137481237,11179077,11179077,80.18857860565186,0
538,retinamnist,retinamnist_densenet121_LP_pct0_seed46,retinamnist/retinamnist_densenet121_LP_pct0_seed46/summary.json,0,densenet121,64,87,0.81467388714063,102,0.0001,5,46,LP,classification,0.615,0.8328659949406463,,0.4315637299810951,0.9994762880461556,0.8328659949406463,6958981,5125,190.49691772460935,0
539,retinamnist,retinamnist_vit_base_patch16_224_partial_pct20_dirstart_seed48,retinamnist/retinamnist_vit_base_patch16_224_partial_pct20_dirstart_seed48/summary.json,start,vit_base_patch16_224,64,6,0.8797133461306611,21,0.0001,5,48,partial,classification,0.595,0.8473006365920819,,0.4640557854843569,0.966025139604296,0.8473006365920819,85802501,21267461,56.55692100524902,20
540,retinamnist,retinamnist_densenet121_partial_pct60_dirstart_seed44,retinamnist/retinamnist_densenet121_partial_pct60_dirstart_seed44/summary.json,start,densenet121,64,25,0.901037486080888,40,0.0001,5,44,partial,classification,0.665,0.8698854589890062,,0.5193122424750332,0.9111256003379822,0.8698854589890062,6958981,4262981,99.35058975219728,60
541,retinamnist,retinamnist_resnet18_full_pct0_seed47,retinamnist/retinamnist_resnet18_full_pct0_seed47/summary.json,0,resnet18,64,16,0.8543047768374237,31,0.0001,5,47,full,classification,0.6225,0.8236987142277469,,0.4136390316979603,0.9950981565884182,0.8236987142277469,11179077,11179077,64.66016983985901,0
